trial,t_d,r_type,accuracy,mean,md,P_25,P_75,IQR,sd,min,max
stop-left,0.066,bimanual,correct,0,0,0,0,0,0,0,0
stop-left,0.066,bimanual,error,0.05746150362318841,0.041666666666666664,0,0.05344202898550725,0.05344202898550725,0.08177553136186697,0,0.2916666666666667
stop-left,0.066,unimanual,correct,0.733103796113307,0.7391304347826086,0.625,0.842391304347826,0.21739130434782605,0.1374658301270011,0.4583333333333333,0.9583333333333334
stop-left,0.066,unimanual,error,0.18971743835874272,0.19507575757575757,0.125,0.25271739130434784,0.12771739130434784,0.10250109947226979,0.041666666666666664,0.43478260869565216
stop-left,0.066,no,correct,0,0,0,0,0,0,0,0
stop-left,0.066,no,error,0.019717261904761904,0,0,0.041666666666666664,0.041666666666666664,0.03187353387805472,0,0.08333333333333333
stop-left,0.066,other,correct,0,0,0,0,0,0,0,0
stop-left,0.066,other,error,0,0,0,0,0,0,0,0
stop-left,0.166,bimanual,correct,0,0,0,0,0,0,0,0
stop-left,0.166,bimanual,error,0.08537652338603426,0.06439393939393939,0,0.125,0.125,0.07994586496435761,0,0.25
stop-left,0.166,unimanual,correct,0.7603085886034255,0.75,0.7083333333333334,0.8333333333333334,0.125,0.13102946941475646,0.4583333333333333,0.9583333333333334
stop-left,0.166,unimanual,error,0.13726943346508563,0.1515151515151515,0.0733695652173913,0.2105978260869565,0.13722826086956522,0.090449080712467,0,0.2916666666666667
stop-left,0.166,no,correct,0,0,0,0,0,0,0,0
stop-left,0.166,no,error,0.017045454545454544,0,0,0.010416666666666666,0.010416666666666666,0.03653531484363668,0,0.16666666666666666
stop-left,0.166,other,correct,0,0,0,0,0,0,0,0
stop-left,0.166,other,error,0,0,0,0,0,0,0,0
stop-left,0.266,bimanual,correct,0,0,0,0,0,0,0,0
stop-left,0.266,bimanual,error,0.32286005434782605,0.23369565217391303,0.12907608695652173,0.5104166666666666,0.3813405797101449,0.22463142926978222,0,0.875
stop-left,0.266,unimanual,correct,0.5934669384057971,0.6666666666666666,0.4375,0.75,0.3125,0.21681875835785913,0.08333333333333333,0.9166666666666666
stop-left,0.266,unimanual,error,0.06804800724637682,0.0625,0.041666666666666664,0.08695652173913043,0.04528985507246377,0.06066583299059947,0,0.2916666666666667
stop-left,0.266,no,correct,0,0,0,0,0,0,0,0
stop-left,0.266,no,error,0.015625,0,0,0,0,0.03627787520501553,0,0.16666666666666666
stop-left,0.266,other,correct,0,0,0,0,0,0,0,0
stop-left,0.266,other,error,0,0,0,0,0,0,0,0
stop-left,0.366,bimanual,correct,0,0,0,0,0,0,0,0
stop-left,0.366,bimanual,error,0.7120357789855073,0.7083333333333334,0.5833333333333334,0.84375,0.26041666666666663,0.16815122145119854,0.4166666666666667,1
stop-left,0.366,unimanual,correct,0.2249207427536232,0.20833333333333334,0.125,0.375,0.25,0.1434592149742088,0,0.5
stop-left,0.366,unimanual,error,0.04059103260869565,0.020833333333333332,0,0.08333333333333333,0.08333333333333333,0.048220644674150576,0,0.13043478260869565
stop-left,0.366,no,correct,0,0,0,0,0,0,0,0
stop-left,0.366,no,error,0.022452445652173914,0,0,0.041666666666666664,0.041666666666666664,0.04115073635327169,0,0.16666666666666666
stop-left,0.366,other,correct,0,0,0,0,0,0,0,0
stop-left,0.366,other,error,0,0,0,0,0,0,0,0
stop-left,0.466,bimanual,correct,0,0,0,0,0,0,0,0
stop-left,0.466,bimanual,error,0.9592391304347826,0.9583333333333334,0.9565217391304348,1,0.04347826086956519,0.043449031783324085,0.8333333333333334,1
stop-left,0.466,unimanual,correct,0.023663949275362316,0,0,0.041666666666666664,0.041666666666666664,0.032091429726358756,0,0.08695652173913043
stop-left,0.466,unimanual,error,0.00792572463768116,0,0,0,0,0.016766917530674177,0,0.043478260869565216
stop-left,0.466,no,correct,0,0,0,0,0,0,0,0
stop-left,0.466,no,error,0.009171195652173912,0,0,0,0,0.025420429903905636,0,0.125
stop-left,0.466,other,correct,0,0,0,0,0,0,0,0
stop-left,0.466,other,error,0,0,0,0,0,0,0,0
stop-left,NA,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-left,NA,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-left,NA,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-left,NA,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-left,NA,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-left,NA,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-left,NA,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-left,NA,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-right,0.066,bimanual,correct,0,0,0,0,0,0,0,0
stop-right,0.066,bimanual,error,0.042806265292678336,0.020833333333333332,0,0.05654761904761904,0.05654761904761904,0.056314678567411465,0,0.20833333333333334
stop-right,0.066,unimanual,correct,0.6811116306700545,0.681159420289855,0.625,0.7302371541501975,0.10523715415019752,0.11089163991169394,0.4166666666666667,0.9130434782608695
stop-right,0.066,unimanual,error,0.25341585497835495,0.25,0.16666666666666666,0.3020833333333333,0.13541666666666666,0.09044691693506521,0.08695652173913043,0.4583333333333333
stop-right,0.066,no,correct,0,0,0,0,0,0,0,0
stop-right,0.066,no,error,0.0226662490589121,0,0,0.043478260869565216,0.043478260869565216,0.035544663806582166,0,0.125
stop-right,0.066,other,correct,0,0,0,0,0,0,0,0
stop-right,0.066,other,error,0,0,0,0,0,0,0,0
stop-right,0.166,bimanual,correct,0,0,0,0,0,0,0,0
stop-right,0.166,bimanual,error,0.12109375,0.125,0.043025362318840576,0.17708333333333334,0.13405797101449277,0.072976373832428,0.041666666666666664,0.25
stop-right,0.166,unimanual,correct,0.6556272644927537,0.6875,0.5,0.8002717391304348,0.3002717391304348,0.18599003676131803,0.3333333333333333,0.9166666666666666
stop-right,0.166,unimanual,error,0.198143115942029,0.19112318840579712,0.08333333333333333,0.2916666666666667,0.20833333333333337,0.14994651356952496,0,0.5416666666666666
stop-right,0.166,no,correct,0,0,0,0,0,0,0,0
stop-right,0.166,no,error,0.025135869565217392,0,0,0.042119565217391304,0.042119565217391304,0.03204128828763616,0,0.08695652173913043
stop-right,0.166,other,correct,0,0,0,0,0,0,0,0
stop-right,0.166,other,error,0,0,0,0,0,0,0,0
stop-right,0.266,bimanual,correct,0,0,0,0,0,0,0,0
stop-right,0.266,bimanual,error,0.3389430994729908,0.3125,0.16666666666666666,0.4583333333333333,0.29166666666666663,0.20699210908130888,0,0.875
stop-right,0.266,unimanual,correct,0.5183475378787878,0.5217391304347826,0.375,0.6739130434782609,0.29891304347826086,0.20628482792075556,0.041666666666666664,0.9166666666666666
stop-right,0.266,unimanual,error,0.11893218873517787,0.08333333333333333,0.08333333333333333,0.16847826086956522,0.08514492753623189,0.09022073793703261,0,0.4090909090909091
stop-right,0.266,no,correct,0,0,0,0,0,0,0,0
stop-right,0.266,no,error,0.023777173913043476,0,0,0.041666666666666664,0.041666666666666664,0.035751697626317094,0,0.13043478260869565
stop-right,0.266,other,correct,0,0,0,0,0,0,0,0
stop-right,0.266,other,error,0,0,0,0,0,0,0,0
stop-right,0.366,bimanual,correct,0,0,0,0,0,0,0,0
stop-right,0.366,bimanual,error,0.7209578804347826,0.7083333333333334,0.625,0.8020833333333334,0.17708333333333337,0.14417353268077213,0.4583333333333333,1
stop-right,0.366,unimanual,correct,0.18760293148880106,0.1875,0.08333333333333333,0.2916666666666667,0.20833333333333337,0.12271283997600686,0,0.4166666666666667
stop-right,0.366,unimanual,error,0.06273674242424242,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.05196294849298488,0,0.20833333333333334
stop-right,0.366,no,correct,0,0,0,0,0,0,0,0
stop-right,0.366,no,error,0.028702445652173912,0,0,0.041666666666666664,0.041666666666666664,0.04023341757420381,0,0.16666666666666666
stop-right,0.366,other,correct,0,0,0,0,0,0,0,0
stop-right,0.366,other,error,0,0,0,0,0,0,0,0
stop-right,0.466,bimanual,correct,0,0,0,0,0,0,0,0
stop-right,0.466,bimanual,error,0.9485136693017128,0.9583333333333334,0.9166666666666666,1,0.08333333333333337,0.05251681401575085,0.7727272727272727,1
stop-right,0.466,unimanual,correct,0.025032938076416336,0,0,0.041666666666666664,0.041666666666666664,0.035338545824027755,0,0.125
stop-right,0.466,unimanual,error,0.017220438076416336,0,0,0.041666666666666664,0.041666666666666664,0.028381608045282176,0,0.09090909090909091
stop-right,0.466,no,correct,0,0,0,0,0,0,0,0
stop-right,0.466,no,error,0.009232954545454544,0,0,0,0,0.02065623876931106,0,0.08333333333333333
stop-right,0.466,other,correct,0,0,0,0,0,0,0,0
stop-right,0.466,other,error,0,0,0,0,0,0,0,0
stop-right,NA,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-right,NA,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-right,NA,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-right,NA,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-right,NA,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-right,NA,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-right,NA,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-right,NA,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,0.066,bimanual,correct,0,0,0,0,0,0,0,0
stop-both,0.066,bimanual,error,0.029947916666666664,0,0,0.041666666666666664,0.041666666666666664,0.04519270640673771,0,0.16666666666666666
stop-both,0.066,unimanual,correct,0,0,0,0,0,0,0,0
stop-both,0.066,unimanual,error,0.022135416666666664,0,0,0.041666666666666664,0.041666666666666664,0.03957714297944928,0,0.125
stop-both,0.066,no,correct,0.9479166666666666,0.9583333333333334,0.9166666666666666,1,0.08333333333333337,0.06437596782165617,0.75,1
stop-both,0.066,no,error,0,0,0,0,0,0,0,0
stop-both,0.066,other,correct,0,0,0,0,0,0,0,0
stop-both,0.066,other,error,0,0,0,0,0,0,0,0
stop-both,0.166,bimanual,correct,0,0,0,0,0,0,0,0
stop-both,0.166,bimanual,error,0.08072916666666667,0.041666666666666664,0.041666666666666664,0.09375,0.052083333333333336,0.08193552135367303,0,0.2916666666666667
stop-both,0.166,unimanual,correct,0,0,0,0,0,0,0,0
stop-both,0.166,unimanual,error,0.03515625,0,0,0.05208333333333333,0.05208333333333333,0.05611106397936201,0,0.25
stop-both,0.166,no,correct,0.8841145833333334,0.9166666666666666,0.875,0.9583333333333334,0.08333333333333337,0.1191434366221798,0.5,1
stop-both,0.166,no,error,0,0,0,0,0,0,0,0
stop-both,0.166,other,correct,0,0,0,0,0,0,0,0
stop-both,0.166,other,error,0,0,0,0,0,0,0,0
stop-both,0.266,bimanual,correct,0,0,0,0,0,0,0,0
stop-both,0.266,bimanual,error,0.3125,0.29166666666666663,0.15625,0.4270833333333333,0.2708333333333333,0.2079297165512655,0.08333333333333333,0.9166666666666666
stop-both,0.266,unimanual,correct,0,0,0,0,0,0,0,0
stop-both,0.266,unimanual,error,0.0703125,0.041666666666666664,0,0.125,0.125,0.062106737668302006,0,0.20833333333333334
stop-both,0.266,no,correct,0.6171875,0.6666666666666666,0.5,0.7604166666666666,0.26041666666666663,0.2172648638352453,0.041666666666666664,0.9166666666666666
stop-both,0.266,no,error,0,0,0,0,0,0,0,0
stop-both,0.266,other,correct,0,0,0,0,0,0,0,0
stop-both,0.266,other,error,0,0,0,0,0,0,0,0
stop-both,0.366,bimanual,correct,0,0,0,0,0,0,0,0
stop-both,0.366,bimanual,error,0.6880095108695652,0.7083333333333334,0.5729166666666666,0.7916666666666666,0.21875,0.14277098636449578,0.43478260869565216,0.9583333333333334
stop-both,0.366,unimanual,correct,0,0,0,0,0,0,0,0
stop-both,0.366,unimanual,error,0.04053442028985507,0.041666666666666664,0,0.08333333333333333,0.08333333333333333,0.039000545205237894,0,0.125
stop-both,0.366,no,correct,0.2714560688405797,0.27083333333333337,0.19791666666666666,0.3854166666666667,0.18750000000000003,0.12886626822173625,0,0.4782608695652174
stop-both,0.366,no,error,0,0,0,0,0,0,0,0
stop-both,0.366,other,correct,0,0,0,0,0,0,0,0
stop-both,0.366,other,error,0,0,0,0,0,0,0,0
stop-both,0.466,bimanual,correct,0,0,0,0,0,0,0,0
stop-both,0.466,bimanual,error,0.9241394927536232,0.9583333333333334,0.875,1,0.125,0.08049750059782035,0.6666666666666666,1
stop-both,0.466,unimanual,correct,0,0,0,0,0,0,0,0
stop-both,0.466,unimanual,error,0.018342391304347824,0,0,0.041666666666666664,0.041666666666666664,0.0260896753946506,0,0.08695652173913043
stop-both,0.466,no,correct,0.057518115942028984,0.041666666666666664,0,0.08423913043478261,0.08423913043478261,0.07167493739711109,0,0.2916666666666667
stop-both,0.466,no,error,0,0,0,0,0,0,0,0
stop-both,0.466,other,correct,0,0,0,0,0,0,0,0
stop-both,0.466,other,error,0,0,0,0,0,0,0,0
stop-both,NA,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,NA,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,NA,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,NA,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,NA,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,NA,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,NA,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
stop-both,NA,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,0.066,bimanual,correct,0.8458792113683418,0.866600790513834,0.7801383399209487,0.9139492753623187,0.13381093544137002,0.09191496150796263,0.6666666666666666,1
ignore,0.066,bimanual,error,0.11181006493506493,0.11011904761904762,0.043478260869565216,0.16666666666666666,0.12318840579710144,0.07859333617263004,0,0.2857142857142857
ignore,0.066,unimanual,correct,0,0,0,0,0,0,0,0
ignore,0.066,unimanual,error,0.025270415725578768,0,0,0.041666666666666664,0.041666666666666664,0.03712786601792955,0,0.13043478260869565
ignore,0.066,no,correct,0,0,0,0,0,0,0,0
ignore,0.066,no,error,0.017040307971014492,0,0,0.041666666666666664,0.041666666666666664,0.029770586471024086,0,0.08333333333333333
ignore,0.066,other,correct,0,0,0,0,0,0,0,0
ignore,0.066,other,error,0,0,0,0,0,0,0,0
ignore,0.166,bimanual,correct,0.921962491765481,0.9365942028985508,0.875,1,0.125,0.0753954668369451,0.7391304347826086,1
ignore,0.166,bimanual,error,0.041115983201581024,0.041666666666666664,0,0.08333333333333333,0.08333333333333333,0.04785012166961218,0,0.13636363636363635
ignore,0.166,unimanual,correct,0,0,0,0,0,0,0,0
ignore,0.166,unimanual,error,0.017271903820816864,0,0,0.041666666666666664,0.041666666666666664,0.03225745402587508,0,0.13043478260869565
ignore,0.166,no,correct,0,0,0,0,0,0,0,0
ignore,0.166,no,error,0.019649621212121212,0,0,0,0,0.04494704365325323,0,0.20833333333333334
ignore,0.166,other,correct,0,0,0,0,0,0,0,0
ignore,0.166,other,error,0,0,0,0,0,0,0,0
ignore,0.266,bimanual,correct,0.9575356142951251,0.9583333333333334,0.9560276679841898,1,0.04397233201581019,0.05290288049885193,0.8260869565217391,1
ignore,0.266,bimanual,error,0.017040307971014492,0,0,0.041666666666666664,0.041666666666666664,0.03496154064404294,0,0.16666666666666666
ignore,0.266,unimanual,correct,0,0,0,0,0,0,0,0
ignore,0.266,unimanual,error,0.013303894927536232,0,0,0.010416666666666666,0.010416666666666666,0.025419063345322887,0,0.08695652173913043
ignore,0.266,no,correct,0,0,0,0,0,0,0,0
ignore,0.266,no,error,0.01212018280632411,0,0,0.010416666666666666,0.010416666666666666,0.02258046587509596,0,0.08695652173913043
ignore,0.266,other,correct,0,0,0,0,0,0,0,0
ignore,0.266,other,error,0,0,0,0,0,0,0,0
ignore,0.366,bimanual,correct,0.9724298007246377,1,0.9578804347826086,1,0.04211956521739135,0.04201642533048663,0.875,1
ignore,0.366,bimanual,error,0.01183197463768116,0,0,0,0,0.028591971036715222,0,0.125
ignore,0.366,unimanual,correct,0,0,0,0,0,0,0,0
ignore,0.366,unimanual,error,0.010529891304347826,0,0,0,0,0.026068109377238084,0,0.125
ignore,0.366,no,correct,0,0,0,0,0,0,0,0
ignore,0.366,no,error,0.005208333333333333,0,0,0,0,0.01755049039946317,0,0.08333333333333333
ignore,0.366,other,correct,0,0,0,0,0,0,0,0
ignore,0.366,other,error,0,0,0,0,0,0,0,0
ignore,0.466,bimanual,correct,0.9749773550724637,1,0.9583333333333334,1,0.04166666666666663,0.04027898756260859,0.8260869565217391,1
ignore,0.466,bimanual,error,0.00390625,0,0,0,0,0.01233935754501246,0,0.041666666666666664
ignore,0.466,unimanual,correct,0,0,0,0,0,0,0,0
ignore,0.466,unimanual,error,0.012001811594202898,0,0,0,0,0.03334625717508303,0,0.17391304347826086
ignore,0.466,no,correct,0,0,0,0,0,0,0,0
ignore,0.466,no,error,0.009114583333333332,0,0,0,0,0.020451815804794982,0,0.08333333333333333
ignore,0.466,other,correct,0,0,0,0,0,0,0,0
ignore,0.466,other,error,0,0,0,0,0,0,0,0
ignore,NA,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
ignore,NA,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.066,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.166,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.266,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.366,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,bimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,bimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,unimanual,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,unimanual,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,no,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,no,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,other,correct,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,0.466,other,error,NaN,NA,NA,NA,NA,NaN,Inf,-Inf
no-signal,NA,bimanual,correct,0.9791988539516995,0.9867638946084335,0.9704237250326367,0.9930240441022216,0.022600319069584818,0.02037196452361654,0.9151079136690647,0.9972183588317107
no-signal,NA,bimanual,error,0.01022571643647498,0.00697350069735007,0.0028011368860042917,0.01433428524613188,0.011533148360127587,0.008742545246106112,0.0013908205841446453,0.03333333333333333
no-signal,NA,unimanual,correct,0,0,0,0,0,0,0,0
no-signal,NA,unimanual,error,0.006421739607199755,0.0034858578775128564,0.001394214519644293,0.0077081976256286565,0.006313983105984363,0.009181427582767849,0,0.04748201438848921
no-signal,NA,no,correct,0,0,0,0,0,0,0,0
no-signal,NA,no,error,0.00415369000462584,0,0,0.0028092577813248203,0.0028092577813248203,0.009971515185976108,0,0.05013927576601671
no-signal,NA,other,correct,0,0,0,0,0,0,0,0
no-signal,NA,other,error,0,0,0,0,0,0,0,0
